Assignment group,FullDescr,Resolution notes
DPSMAN Global L2,"Job FASKBEXT Ended Not Ok Job FASKBEXT Ended Not Ok

TS
Tejesh Vuddagiri Naga Venkata Sai
Work notes•2022-04-07 06:18:20
Hi SD Team,
Please create a sev 3 ticket for DPSMAN group.
Job FASKBEXT Ended Not Ok
Notified to saran

Escalating ticket to DPSMAN Global L2
",File uploaded manually.
DPSMAN Global L2,"Job MTCOT922 and SMAMS722 Ended not OK ** SWIVEL TICKET **

MTCOT922 J12910 ENDED NOTOK RC=JFAIL!
SMAMS722 J12820 ENDED NOTOK RC=2974 !


RM
Ravikanth S M
Work notes •2022-06-23 06:52:07
Notified to Saran

Hi SD Team,

Please raise a sev2 ticket to DPSMAN group.
","Problem - MTCOT922 J12910 ENDED NOTOK RC=JFAIL!
SMAMS722 J12820 ENDED NOTOK RC=2974 !

cause: [ Main Cause Type:Resource ;Sub Cause Type: File locked ]

Cause description : UNAVAILABLE RESOURCE

Action: Resatrted the job after resourse is available and Job completed fine.

User confirmation - NA
**************************************************************************************************"
DPSMAN Global L2,"Job SMAMS001 and SNCOT922 failed SMAMS001 J28825 ENDED NOTOK RC=2974 !
SNCOT922 J29089 ENDED NOTOK RC=SB37 !

----
AS per 
Ravikanth S M
Work notes•2022-07-08 06:17:33
Notified to Saran

Hi SD Team,

Please raise a sev2 ticket to DPSMAN group.","Problem - SMAMS001 J28825 ENDED NOTOK RC=2974 !
SNCOT922 J29089 ENDED NOTOK RC=SB37 !

cause: [ Main Cause Type:Infrastructure;Sub Cause Type: File Space issues ]

Cause description : File Space issues

Action: 
SNCOT922 Increased space and recataloged file with space issue and restart job from failed step. 
Job ended successful.
SMAMS001 once file released, restart job from failed step and job completed fine.

User confirmation - NA"
DPSMAN Global L2,"Job SWMRP150 and GPACE503 ENDED NOTOK Job SWMRP150 and GPACE503 ENDED NOTOK


GPACE503 J12678 ENDED NOTOK RC=0806 !
SWMRP150 J12951 ENDED NOTOK RC=0110 !


=========================================================
RM
Ravikanth S M
Work notes•2022-06-19 01:32:36
Notified to Saran

Hi SD Team,

Please raise a sev2 ticket to DPSMAN group.","Problem: GPACE503 J12678 ENDED NOTOK RC=0806 !
SWMRP150 J12951 ENDED NOTOK RC=0110 !*   

Cause:: [ Main Cause Type:Scheduling issue;Sub Cause Type: Deadlock ]

Cause description : DB2 ERROR: RESULT OF SQL STATEMENT: SQLCODE: -911

Action taken : Restarted the job after 1hr to deadlock complete, Job Completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"Job UXFASUED Ended not OK Job UXFASUED Ended not OK

PA
Pruthvi Raj B A

Additional comments•2022-04-25 09:23:22

Hello Team,

Please route this ticket to DPSMAN with SEV2 priority.

thanks","Problem: Job UXFASUED Ended not OK

Cause : [ Main Cause Type:Monitoring ;Sub Cause Type: Monitoring Alert ]

Action:  Restarted from failure step and it completed fine. 

Customer Confirmation: NA."
DPSMAN Global L2,"Mainframe: Multiple failure in SE Mainframe: Multiple failure in SE

MTAMS724 J25484 ENDED NOTOK RC=1808 !
OXAMS724 J25485 ENDED NOTOK RC=1808 ! 
SWAMS724 J24948 ENDED NOTOK RC=1808 !

system
Email sent•2022-05-01 22:17:05
Email sent
Subject:[ATOS] SCHNEIDER ELECTRIC INC030375984 3 - Medium assigned to ZZ.ServiceDesk.NAM.SE
From:IT Service Desk
To:ezra.bautista@atos.net, birlen.aquino@atos.net, al-christian.adap@atos.net, sherry.geneta@atos.net, francis.ogdoc@atos.net...
Show email details
KS
Kesavanarayanan S
Field changes•2022-05-01 22:16:41
Assigned to[Empty]wasKesavanarayanan S
Assignment GroupZZ.ServiceDesk.NAM.SEwasZZ.Mainframe.WO.ProdCNTRL.SE
Incident StatePending AssignmentwasIn Progress
StatePending AssignmentwasIn Progress
Transfer ReasonReferred on to next group
KS
Kesavanarayanan S
Work notes•2022-05-01 22:12:22
A ticket needs to be assigned DPSMAN with sev2.
KS
Kesavanarayanan S
Field changes•2022-05-01 22:11:45
DescriptionMainframe: Multiple failure in SE

MTAMS724 J25484 ENDED NOTOK RC=1808 !
OXAMS724 J25485 ENDED NOTOK RC=1808 !
SWAMS724 J24948 ENDED NOTOK RC=1808 !wasEventID: 20220501-1651424058-916271-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MTAMS724 J25738 ENDED NOTOK RC=1808 ! * U-IOADMIN .Occurred @ 12:54:55
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup:
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min
TimeOccured: 2022-05-01T16:54:18Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_urgency: 3
incident_impact: 3
Short DescriptionMainframe: Multiple failure in SEwasSYSA (IOCALERT) CTM3 SYSA-CTM282I MTAMS724 J25738 ENDED NOTOK RC=1808 ! * U-IOADMIN .Occurred @ 12:54:55
","FTP service not available for all 3 jobs below for server: es08c.c076.us.schneider-electric.com

1) MTAMS724 J25484 ENDED NOTOK RC=1808 !
2) OXAMS724 J25485 ENDED NOTOK RC=1808 !
3) SWAMS724 J24948 ENDED NOTOK RC=1808 !

Resolution:
Manually transferrd the files for each job above when the server was available.   FTP was scuccessful for all 3 jobs."
DPSMAN Global L2,"Mainframe: Three jobs failed - SMFTP799 , SWFTP799 , SWMRS151  ","The job SWFTP799 failed because Kronos file were unavailable 085Extract.txt
Per Raymundo Peña (Application Engineer) and David Franczak  (Master Data Steward) advised via email  to not run this job on Sunday (3/27/22).
As a result we had Operation team force complete the job (i.e. treat it as the job SWFTP799 never ran)"
DPSMAN Global L2,"Multiple Job abends Multiple Job abends


SMAM022J J22092 ENDED NOTOK RC=JFAIL!           *                                     
SMMBL006 J22076 ENDED NOTOK RC=JFAIL!           *                                     
SMCOT002 J22064 ENDED NOTOK RC=2974 !           
SMIVTDC1 J22065 ENDED NOTOK RC=JFAIL!           
SMPAMSR6 J21906 ENDED NOTOK RC=U3303!           
SMAMSD01 J21751 ENDED NOTOK RC=0012 !           

=========================================================

RM
Ravikanth S M
Work notes•2022-06-24 07:38:43
Notified to Saran

Hi SD Team,

Please raise a sev2 ticket to DPSMAN group.
","Problem:  Multiple Job abends
SMAM022J J22092 ENDED NOTOK RC=JFAIL!           *                                     
SMMBL006 J22076 ENDED NOTOK RC=JFAIL!           *                                     
SMCOT002 J22064 ENDED NOTOK RC=2974 !           
SMIVTDC1 J22065 ENDED NOTOK RC=JFAIL!           
SMPAMSR6 J21906 ENDED NOTOK RC=U3303!           
SMAMSD01 J21751 ENDED NOTOK RC=0012 !           

Cause: [ Main Cause Type:Scheduling issue;Sub Cause Type: Delay in Batch job ]

Cause description : Delay in batch caused multiple abneds in system.

Action taken : Restarted the job after batch is available, Jobs completed Fine.

Customer Confirmation : NA"
DPSMAN Global L2,"Multiple job failure in SE Multiple job failure in SE.
 
SWBMSL17 IOADMIN  060422 SWBMSL17/03598   JOB Ended- Not ""OK"" Due to CC 
 SWIOFL01 SSWPROD  060422 SWIOFL01/03601   JOB Ended- Not ""OK"" Due to CC 
 SWINV011 IOADMIN  060422 SWINV011/03602   JOB Ended- Not ""OK"" Due to CC 
 SWIVT030 IOADMIN  060422 SWIVT030/03603   JOB Ended- Not ""OK"" Due to CC 
 SWIVT008 IOADMIN  060422 SWIVT008/03605   JOB Ended- Not ""OK"" Due to CC 
 SWPCSL14 IOADMIN  060422 SWPCSL14/03607   JOB Ended- Not ""OK"" Due to CC 
 SWBMS189 IOADMIN  060422 SWBMS189/03610   JOB Ended- Not ""OK"" Due to CC 
 SWMCSL11 IOADMIN  060422 SWMCSL11/03620   JOB Ended- Not ""OK"" Due to CC 
 SWMCSL20 IOADMIN  060422 SWMCSL20/03621   JOB Ended- Not ""OK"" Due to CC 
 SWMCSL23 IOADMIN  060422 SWMCSL23/03622   JOB Ended- Not ""OK"" Due to CC 
 SWPCSL10 IOADMIN  060422 SWPCSL10/03626   JOB Ended- Not ""OK"" Due to CC 

MK
Manisha Kumari
Work notes•2022-06-04 23:12:11
Informed to Saran .

Hi SD Team,

Please raise a sev2 ticket to DPSMAN group.","Problem: Multiple job failure in SE.
 
SWBMSL17 IOADMIN  060422 SWBMSL17/03598   JOB Ended- Not ""OK"" Due to CC 
 SWIOFL01 SSWPROD  060422 SWIOFL01/03601   JOB Ended- Not ""OK"" Due to CC 
 SWINV011 IOADMIN  060422 SWINV011/03602   JOB Ended- Not ""OK"" Due to CC 
 SWIVT030 IOADMIN  060422 SWIVT030/03603   JOB Ended- Not ""OK"" Due to CC 
 SWIVT008 IOADMIN  060422 SWIVT008/03605   JOB Ended- Not ""OK"" Due to CC 
 SWPCSL14 IOADMIN  060422 SWPCSL14/03607   JOB Ended- Not ""OK"" Due to CC 
 SWBMS189 IOADMIN  060422 SWBMS189/03610   JOB Ended- Not ""OK"" Due to CC 
 SWMCSL11 IOADMIN  060422 SWMCSL11/03620   JOB Ended- Not ""OK"" Due to CC 
 SWMCSL20 IOADMIN  060422 SWMCSL20/03621   JOB Ended- Not ""OK"" Due to CC 
 SWMCSL23 IOADMIN  060422 SWMCSL23/03622   JOB Ended- Not ""OK"" Due to CC 
 SWPCSL10 IOADMIN  060422 SWPCSL10/03626   JOB Ended- Not ""OK"" Due to CC 

Cause: [ Main Cause Type: Infrastructure ;Sub Cause Type: FTP service unavailable ]

Cause description :  FTP service unavailable

Action taken : Restarted the jobs once FTP services are available. Jobs completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"Multiple Jobs abended SWSFCD04 J10948 ENDED NOTOK RC=U0870!
SWFAS351 J09033 ENDED NOTOK RC=U0474!
SWBMS025 J09417 ENDED NOTOK RC=S222 !           
SWPCS030 J09766 ENDED NOTOK RC=JFAIL!           
SWOEP060 J09866 ENDED NOTOK RC=JFAIL!           
UXFASFBL	ENDED NOT OK



RM
Ravikanth S M
Work notes•2022-04-29 02:14:00
Notified to Venkata/Aseem/Saran

Hi SD Team,

Please raise a sev2 ticket to DPSMAN group.
","Problem:  SWSFCD04 J10948 ENDED NOTOK RC=U0870!
SWFAS351 J09033 ENDED NOTOK RC=U0474!
SWBMS025 J09417 ENDED NOTOK RC=S222 !           
SWPCS030 J09766 ENDED NOTOK RC=JFAIL!           
SWOEP060 J09866 ENDED NOTOK RC=JFAIL!           
UXFASFBL	ENDED NOT OK

Cause: [ Main Cause Type:Scheduling issue;Sub Cause Type: Delay in Batch job ]

Cause description : Delay in batch jobs caused multiple dependensy issues.

Action taken : Restarted jobs one after another, once their dependent files have been created.
All jobs completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"Multiple Mainframe Failure in SE Multiple Mainframe Failure in SE
GPIVTW50 J23122 ENDED NOTOK RC=0016 !
SMSAL015 J22472 ENDED NOTOK RC=0016 !
SMCOT002 J22658 ENDED NOTOK RC=2974 !
SNSAL025 J22430 ENDED NOTOK RC=0016 !
SWSAL045 J22307 ENDED NOTOK RC=0016 !

KS
Kesavanarayanan S
Work notes•2022-07-12 06:12:30
Hi SD Team,
A ticket needs to be assigned DPSMAN with SEV2.","Problem: Multiple Mainframe Failure in SE
GPIVTW50 J23122 ENDED NOTOK RC=0016 !
SMSAL015 J22472 ENDED NOTOK RC=0016 !
SMCOT002 J22658 ENDED NOTOK RC=2974 !
SNSAL025 J22430 ENDED NOTOK RC=0016 !
SWSAL045 J22307 ENDED NOTOK RC=0016 !

Cause: [ Main Cause Type:Data;Sub Cause Type: FTP service unavailable ]

Cause description : XCOM service unavailable 

Action taken : Due to space issue, XCOM service failed.
Restarted once space issue has been cleared. Job completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"Multiple Mainframe jobs Failed in SE. ** SWIVEL TICKET**

EventID: 20220517-1652783267-5153911-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I SMMBL006 J17392 ENDED NOTOK RC=JFAIL!           *                                     U-IOADMIN .Occurred @ 06:28:58
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-05-17T10:27:48Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_impact: 3
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_urgency: 3



KS
Kesavanarayanan S
Work notes•2022-05-17 12:26:21 

All the jobs are restarted as per saran and all are ran fine.

KS
Kesavanarayanan S
Work notes•2022-05-17 12:27:00

A ticket needs to be assigned DPSMAN with SEV2.
","Problem - CTM3 SYSA-CTM282I SMMBL006 J17392 ENDED NOTOK RC=JFAIL!           *  

cause: [ Main Cause Type:Resource ;Sub Cause Type: Required File not available  ]

cause description : IGD17101I DATA SET SMSQ.PRD.AMS.AMSBS100.TRANOF         
NOT DEFINED BECAUSE DUPLICATE NAME EXISTS IN CATALOG    

Action: took backup and deleted the duplicate file and restarted the job from abended step.
Job completed fine.

User confirmation - NA"
DPSMAN Global L2,Other ERP Issue-AMAPS - Issue AMAPS Extract files did not run. See attached file for affected files; Prior ref: KSR000013000266,here were system issues on Thursday night 4/28 which delayed jobs from starting and causing jobs to run longer than normal. The job to download the extract files ran on Friday morning. I notified Roberto.
DPSMAN Global L2,"Other ERP Issue-AMAPS - Issue AMAPS Extract files did not run. See attached file for affected files; Prior ref: KSR000013000266 / INC0085790
See attached file for all effected files.",There was a problem with Q2C that caused several jobs and programs to fail or were delayed.
DPSMAN Global L2,Other ERP Issue-AMAPS - Issue AMAPS will not connect now that I have my PC connected to OneDrive,After attachemate my extra was re-installed it worked fine.
